,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Ordinary Shares Number,1133500000.0,1142600000.0,1147900000.0,1180000000.0,
Share Issued,1133500000.0,1142600000.0,1147900000.0,1180000000.0,
Net Debt,12282200000.0,11848200000.0,12225500000.0,8160100000.0,
Total Debt,25803100000.0,24599800000.0,23804800000.0,23605100000.0,
Tangible Book Value,-10865500000.0,-11333600000.0,-12146000000.0,-9348400000.0,
Invested Capital,8119500000.0,7404900000.0,6337300000.0,9294600000.0,
Working Capital,-2222600000.0,-2041900000.0,-2133100000.0,1605000000.0,
Net Tangible Assets,-10865500000.0,-11333600000.0,-12146000000.0,-9348400000.0,
Capital Lease Obligations,10234700000.0,9200100000.0,8760900000.0,8989300000.0,
Common Stock Equity,-7448900000.0,-7994800000.0,-8706600000.0,-5321200000.0,
Total Capitalization,6870600000.0,5552800000.0,4413300000.0,8295700000.0,
Total Equity Gross Minority Interest,-7441600000.0,-7987800000.0,-8698700000.0,-5314500000.0,
Minority Interest,7300000.0,7000000.0,7900000.0,6700000.0,
Stockholders Equity,-7448900000.0,-7994800000.0,-8706600000.0,-5321200000.0,
Gains Losses Not Affecting Retained Earnings,-428800000.0,-778200000.0,-463200000.0,147200000.0,
Other Equity Adjustments,-428800000.0,-778200000.0,-463200000.0,147200000.0,
Retained Earnings,-7343800000.0,-7255800000.0,-8449800000.0,-6315700000.0,
Additional Paid In Capital,322600000.0,38100000.0,205300000.0,846100000.0,
Capital Stock,1100000.0,1100000.0,1100000.0,1200000.0,
Common Stock,1100000.0,1100000.0,1100000.0,1200000.0,
Total Liabilities Net Minority Interest,38780900000.0,37433300000.0,36677100000.0,36707100000.0,
Total Non Current Liabilities Net Minority Interest,29710900000.0,28088000000.0,27525300000.0,28555700000.0,
Other Non Current Liabilities,656200000.0,513800000.0,610500000.0,737800000.0,
Non Current Deferred Liabilities,5963600000.0,6101800000.0,6279700000.0,6463000000.0,
Non Current Deferred Revenue,5963600000.0,6101800000.0,6279700000.0,6463000000.0,
Long Term Debt And Capital Lease Obligation,23091100000.0,21472400000.0,20635100000.0,21354900000.0,
Long Term Capital Lease Obligation,8771600000.0,7924800000.0,7515200000.0,7738000000.0,
Long Term Debt,14319500000.0,13547600000.0,13119900000.0,13616900000.0,
Current Liabilities,9070000000.0,9345300000.0,9151800000.0,8151400000.0,
Current Deferred Liabilities,1781200000.0,1700200000.0,1641900000.0,1596100000.0,
Current Deferred Revenue,1781200000.0,1700200000.0,1641900000.0,1596100000.0,
Current Debt And Capital Lease Obligation,2712000000.0,3127400000.0,3169700000.0,2250200000.0,
Current Capital Lease Obligation,1463100000.0,1275300000.0,1245700000.0,1251300000.0,
Current Debt,1248900000.0,1852100000.0,1924000000.0,998900000.0,
Other Current Borrowings,1248900000.0,1852100000.0,1924000000.0,998900000.0,
Current Provisions,244300000.0,233500000.0,232300000.0,229300000.0,
Payables And Accrued Expenses,4332500000.0,4284200000.0,4107900000.0,4075800000.0,
Current Accrued Expenses,1711100000.0,1686700000.0,1724400000.0,1720100000.0,
Payables,2621400000.0,2597500000.0,2383500000.0,2355700000.0,
Dividends Payable,691200000.0,651200000.0,608300000.0,578100000.0,
Total Tax Payable,334700000.0,402000000.0,333800000.0,566000000.0,
Income Tax Payable,123500000.0,189300000.0,139200000.0,348000000.0,
Accounts Payable,1595500000.0,1544300000.0,1441400000.0,1211600000.0,
Total Assets,31339300000.0,29445500000.0,27978400000.0,31392600000.0,
Total Non Current Assets,24491900000.0,22142100000.0,20959700000.0,21636200000.0,
Other Non Current Assets,617000000.0,546500000.0,554200000.0,578500000.0,
Non Current Deferred Assets,1766700000.0,1769800000.0,1799700000.0,1874800000.0,
Non Current Deferred Taxes Assets,1766700000.0,1769800000.0,1799700000.0,1874800000.0,
Investments And Advances,739900000.0,687300000.0,590300000.0,550200000.0,
Investmentin Financial Assets,276000000.0,247400000.0,279100000.0,281700000.0,
Available For Sale Securities,276000000.0,247400000.0,279100000.0,281700000.0,
Long Term Equity Investment,463900000.0,439900000.0,311200000.0,268500000.0,
Investmentsin Joint Venturesat Cost,424100000.0,415700000.0,283100000.0,,
Investments In Other Ventures Under Equity Method,39800000.0,24200000.0,28100000.0,,
Goodwill And Other Intangible Assets,3416600000.0,3338800000.0,3439400000.0,4027200000.0,
Other Intangible Assets,100900000.0,120500000.0,155900000.0,349900000.0,
Goodwill,3315700000.0,3218300000.0,3283500000.0,3677300000.0,
Net PPE,17951700000.0,15799700000.0,14576100000.0,14605500000.0,
Accumulated Depreciation,-10775500000.0,-9923100000.0,-9049300000.0,-8459300000.0,
Gross PPE,28727200000.0,25722800000.0,23625400000.0,23064800000.0,
Leases,11453900000.0,10133700000.0,9066800000.0,8637600000.0,
Construction In Progress,750900000.0,607500000.0,558700000.0,374100000.0,
Other Properties,13955500000.0,12604500000.0,11872300000.0,12027300000.0,
Machinery Furniture Equipment,1825200000.0,1664500000.0,1526100000.0,1392000000.0,
Buildings And Improvements,684800000.0,666500000.0,555400000.0,587600000.0,
Land And Improvements,56900000.0,46100000.0,46100000.0,46200000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,6847400000.0,7303400000.0,7018700000.0,9756400000.0,
Other Current Assets,313100000.0,359900000.0,483700000.0,,
Prepaid Assets,,,386600000.0,401500000.0,227500000.0
Inventory,1777300000.0,1806400000.0,2176600000.0,1603900000.0,
Finished Goods,636500000.0,644900000.0,741200000.0,562800000.0,
Raw Materials,1140800000.0,1161500000.0,1435400000.0,1041100000.0,
Receivables,1213800000.0,1184100000.0,1175500000.0,1133100000.0,
Other Receivables,,,69400000.0,172400000.0,155100000.0
Taxes Receivable,,,27700000.0,20700000.0,356900000.0
Accounts Receivable,1213800000.0,1184100000.0,1175500000.0,940000000.0,
Allowance For Doubtful Accounts Receivable,-21200000.0,-23800000.0,-27200000.0,-25600000.0,
Gross Accounts Receivable,1235000000.0,1207900000.0,1202700000.0,965600000.0,
Cash Cash Equivalents And Short Term Investments,3543200000.0,3953000000.0,3182900000.0,6617900000.0,
Other Short Term Investments,257000000.0,401500000.0,364500000.0,162200000.0,
Cash And Cash Equivalents,3286200000.0,3551500000.0,2818400000.0,6455700000.0,
