,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,17650383.0,17467151.0,17336397.0,17107889.0,
Ordinary Shares Number,2904947.0,3088179.0,3218933.0,3447441.0,
Share Issued,20555330.0,20555330.0,20555330.0,20555330.0,
Total Debt,1020485000.0,1014299000.0,1007674000.0,1590820000.0,
Tangible Book Value,4210072000.0,4364725000.0,3506849000.0,3002378000.0,
Invested Capital,5121190000.0,5277752000.0,4421737000.0,4518633000.0,
Working Capital,4687449000.0,4770972000.0,4049821000.0,4160688000.0,
Net Tangible Assets,4210072000.0,4364725000.0,3506849000.0,3002378000.0,
Capital Lease Obligations,109367000.0,101272000.0,92786000.0,74565000.0,
Common Stock Equity,4210072000.0,4364725000.0,3506849000.0,3002378000.0,
Total Capitalization,5121190000.0,5277752000.0,4421737000.0,4518633000.0,
Total Equity Gross Minority Interest,4210072000.0,4364725000.0,3506849000.0,3002378000.0,
Stockholders Equity,4210072000.0,4364725000.0,3506849000.0,3002378000.0,
Treasury Stock,13868724000.0,11849034000.0,10866785000.0,9423858000.0,
Retained Earnings,15046953000.0,13365025000.0,11773414000.0,10047839000.0,
Additional Paid In Capital,3031637000.0,2848528000.0,2600014000.0,2378191000.0,
Capital Stock,206000.0,206000.0,206000.0,206000.0,
Common Stock,206000.0,206000.0,206000.0,206000.0,
Total Liabilities Net Minority Interest,2170916000.0,2237032000.0,2154124000.0,2832097000.0,
Total Non Current Liabilities Net Minority Interest,1020485000.0,1014299000.0,1007674000.0,1590820000.0,
Other Non Current Liabilities,,,,,100804000.0
Non Current Deferred Liabilities,,334441000.0,313804000.0,417463000.0,240758000.0
Non Current Deferred Revenue,,334441000.0,313804000.0,417463000.0,240758000.0
Long Term Debt And Capital Lease Obligation,1020485000.0,1014299000.0,1007674000.0,1590820000.0,
Long Term Capital Lease Obligation,109367000.0,101272000.0,92786000.0,74565000.0,
Long Term Debt,911118000.0,913027000.0,914888000.0,1516255000.0,
Current Liabilities,1150431000.0,1222733000.0,1146450000.0,1241277000.0,
Current Deferred Liabilities,322926000.0,334441000.0,313804000.0,417463000.0,
Current Deferred Revenue,322926000.0,334441000.0,313804000.0,417463000.0,
Payables And Accrued Expenses,827505000.0,888292000.0,832646000.0,823814000.0,
Current Accrued Expenses,441300000.0,413043000.0,437234000.0,435860000.0,
Payables,386205000.0,475249000.0,395412000.0,387954000.0,
Accounts Payable,386205000.0,475249000.0,395412000.0,387954000.0,
Total Assets,6380988000.0,6601757000.0,5660973000.0,5834475000.0,
Total Non Current Assets,543108000.0,608052000.0,464702000.0,432510000.0,
Other Non Current Assets,196102000.0,296058000.0,172516000.0,170211000.0,
Non Current Prepaid Assets,,,,497139000.0,387628000.0
Non Current Deferred Assets,142192000.0,148005000.0,143585000.0,132894000.0,
Non Current Deferred Taxes Assets,142192000.0,148005000.0,143585000.0,132894000.0,
Investment Properties,95619000.0,63716000.0,57950000.0,56979000.0,
Net PPE,109195000.0,100273000.0,90651000.0,72426000.0,
Accumulated Depreciation,-11801000.0,-11224000.0,-12405000.0,-11432000.0,
Gross PPE,120996000.0,111497000.0,103056000.0,83858000.0,
Construction In Progress,,576551000.0,496080000.0,497139000.0,387628000.0
Other Properties,101822000.0,93925000.0,87092000.0,68768000.0,
Machinery Furniture Equipment,19174000.0,17572000.0,15964000.0,15090000.0,
Current Assets,5837880000.0,5993705000.0,5196271000.0,5401965000.0,
Assets Held For Sale Current,355209000.0,222560000.0,316806000.0,302192000.0,
Restricted Cash,53692000.0,52550000.0,51429000.0,63249000.0,
Prepaid Assets,726675000.0,576551000.0,496080000.0,497139000.0,
Inventory,2058707000.0,1950150000.0,1788275000.0,1947366000.0,
Finished Goods,2029814000.0,1926247000.0,1764007000.0,1917443000.0,
Raw Materials,28893000.0,23903000.0,24268000.0,29923000.0,
Receivables,32622000.0,29000000.0,20842000.0,18552000.0,
Accounts Receivable,32622000.0,29000000.0,20842000.0,18552000.0,
Cash Cash Equivalents And Short Term Investments,2610975000.0,3162894000.0,2522839000.0,2573467000.0,
Cash And Cash Equivalents,2610975000.0,3162894000.0,2522839000.0,2573467000.0,
