,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3573276000.0,2958769000.0,2563856000.0,1322189000.0,
Repurchase Of Capital Stock,-172510000.0,0.0,0.0,0.0,
Repayment Of Debt,-38369102000.0,-79420208000.0,-27746851000.0,-9274907000.0,
Issuance Of Debt,39544928000.0,82607168000.0,30693961000.0,10115593000.0,
Issuance Of Capital Stock,1742810000.0,5439462000.0,4556028000.0,4442725000.0,
Interest Paid Supplemental Data,970009000.0,692004000.0,501716000.0,355483000.0,
Income Tax Paid Supplemental Data,32278000.0,12283000.0,45031000.0,19676000.0,
End Cash Position,495506000.0,292175000.0,226881000.0,332369000.0,
Beginning Cash Position,292175000.0,226881000.0,332369000.0,850679000.0,
Effect Of Exchange Rate Changes,-5904000.0,24023000.0,-20511000.0,20076000.0,
Changes In Cash,209235000.0,41271000.0,-84977000.0,-538386000.0,
Financing Cash Flow,-21158000.0,6437356000.0,5738243000.0,4577120000.0,
Cash Flow From Continuing Financing Activities,-21158000.0,6437356000.0,5738243000.0,4577120000.0,
Net Other Financing Charges,-67802000.0,-77273000.0,48536000.0,462735000.0,
Cash Dividends Paid,-2699482000.0,-2111793000.0,-1813431000.0,-1169026000.0,
Preferred Stock Dividend Paid,-7763000.0,0.0,0.0,,
Common Stock Dividend Paid,-2691719000.0,-2111793000.0,-1813431000.0,-1169026000.0,
Net Preferred Stock Issuance,-172510000.0,0.0,0.0,,
Preferred Stock Payments,-172510000.0,0.0,0.0,,
Net Common Stock Issuance,1742810000.0,5439462000.0,4556028000.0,4442725000.0,
Common Stock Payments,,,,0.0,0.0
Common Stock Issuance,1742810000.0,5439462000.0,4556028000.0,4442725000.0,
Net Issuance Payments Of Debt,1175826000.0,3186960000.0,2947110000.0,840686000.0,
Net Short Term Debt Issuance,358405000.0,-2060153000.0,1104682000.0,1573874000.0,
Short Term Debt Payments,-36528598000.0,-79398193000.0,-27434617000.0,-7508332000.0,
Short Term Debt Issuance,36887003000.0,77338040000.0,28539299000.0,9082206000.0,
Net Long Term Debt Issuance,817421000.0,5247113000.0,1842428000.0,-733188000.0,
Long Term Debt Payments,-1840504000.0,-22015000.0,-312234000.0,-1766575000.0,
Long Term Debt Issuance,2657925000.0,5269128000.0,2154662000.0,1033387000.0,
Investing Cash Flow,-3342883000.0,-9354854000.0,-8387076000.0,-6437695000.0,
Cash Flow From Continuing Investing Activities,-3342883000.0,-9354854000.0,-8387076000.0,-6437695000.0,
Net Other Investing Changes,-571787000.0,-174542000.0,49270000.0,-28390000.0,
Net Investment Properties Purchase And Sale,-2794398000.0,-8004933000.0,-8545835000.0,-6081620000.0,
Sale Of Investment Properties,589450000.0,117354000.0,436115000.0,250536000.0,
Purchase Of Investment Properties,-3383848000.0,-8122287000.0,-8981950000.0,-6332156000.0,
Net Business Purchase And Sale,23302000.0,-1175379000.0,109489000.0,-327685000.0,
Sale Of Business,93683000.0,3927000.0,109489000.0,38345000.0,
Purchase Of Business,-70381000.0,-1179306000.0,0.0,-366030000.0,
Operating Cash Flow,3573276000.0,2958769000.0,2563856000.0,1322189000.0,
Cash Flow From Continuing Operating Activities,3573276000.0,2958769000.0,2563856000.0,1322189000.0,
Dividend Received Cfo,21038000.0,5807000.0,1605000.0,365000.0,
Change In Working Capital,30689000.0,174007000.0,-34814000.0,-63006000.0,
Change In Payables And Accrued Expense,2607000.0,285293000.0,-5290000.0,-24714000.0,
Change In Payable,2607000.0,285293000.0,-5290000.0,-24714000.0,
Change In Account Payable,2607000.0,285293000.0,-5290000.0,-24714000.0,
Change In Receivables,28082000.0,-111286000.0,-29524000.0,-38292000.0,
Changes In Account Receivables,28082000.0,-111286000.0,-29524000.0,-38292000.0,
Other Non Cash Items,-95357000.0,-108819000.0,-118007000.0,-24894000.0,
Stock Based Compensation,57493000.0,26227000.0,21617000.0,41773000.0,
Asset Impairment Charge,425833000.0,87082000.0,25860000.0,38967000.0,
Deferred Tax,3552000.0,0.0,0.0,,
Deferred Income Tax,3552000.0,0.0,0.0,,
Depreciation Amortization Depletion,2395644000.0,1895177000.0,1670389000.0,897835000.0,
Depreciation And Amortization,2395644000.0,1895177000.0,1670389000.0,897835000.0,
Operating Gains Losses,-132957000.0,2374000.0,124790000.0,70402000.0,
Earnings Losses From Equity Investments,-7793000.0,-2546000.0,6448000.0,-1106000.0,
Gain Loss On Investment Securities,-105770000.0,-32856000.0,-102239000.0,-52893000.0,
Net Foreign Currency Exchange Gain Loss,-19394000.0,37776000.0,220948000.0,27223000.0,
Net Income From Continuing Operations,867341000.0,876914000.0,872416000.0,360747000.0,
