,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-5374000000.0,1206000000.0,2712000000.0,1670000000.0,
Repurchase Of Capital Stock,-959000000.0,-935000000.0,-1251000000.0,-525000000.0,
Repayment Of Debt,-3502000000.0,-4802000000.0,-7961000000.0,-4193000000.0,
Issuance Of Debt,9875000000.0,5179000000.0,7704000000.0,3513000000.0,
Issuance Of Capital Stock,476000000.0,0.0,0.0,0.0,
Capital Expenditure,-11787000000.0,-4714000000.0,-3613000000.0,-2274000000.0,
Interest Paid Supplemental Data,269000000.0,146000000.0,135000000.0,194000000.0,
Income Tax Paid Supplemental Data,605000000.0,352000000.0,718000000.0,,0.0
End Cash Position,164000000.0,585000000.0,164000000.0,672000000.0,
Beginning Cash Position,585000000.0,164000000.0,672000000.0,108000000.0,
Changes In Cash,-421000000.0,421000000.0,-508000000.0,564000000.0,
Financing Cash Flow,4387000000.0,-2176000000.0,-3503000000.0,-1841000000.0,
Cash Flow From Continuing Financing Activities,4387000000.0,-2176000000.0,-3503000000.0,-1841000000.0,
Net Other Financing Charges,75000000.0,-174000000.0,-423000000.0,-324000000.0,
Cash Dividends Paid,-1578000000.0,-1444000000.0,-1572000000.0,-312000000.0,
Common Stock Dividend Paid,-1578000000.0,-1444000000.0,-1572000000.0,-312000000.0,
Net Common Stock Issuance,-483000000.0,-935000000.0,-1251000000.0,-525000000.0,
Common Stock Payments,-959000000.0,-935000000.0,-1251000000.0,-525000000.0,
Common Stock Issuance,476000000.0,0.0,0.0,0.0,
Net Issuance Payments Of Debt,6373000000.0,377000000.0,-257000000.0,-680000000.0,
Net Short Term Debt Issuance,,111000000.0,-347000000.0,313000000.0,-348000000.0
Short Term Debt Payments,,-4668000000.0,-5551000000.0,-1000000000.0,-1478000000.0
Short Term Debt Issuance,,4779000000.0,5204000000.0,1313000000.0,1130000000.0
Net Long Term Debt Issuance,6373000000.0,377000000.0,-257000000.0,-993000000.0,
Long Term Debt Payments,-3502000000.0,-4802000000.0,-7961000000.0,-3193000000.0,
Long Term Debt Issuance,9875000000.0,5179000000.0,7704000000.0,2200000000.0,
Investing Cash Flow,-11221000000.0,-3323000000.0,-3330000000.0,-1539000000.0,
Cash Flow From Continuing Investing Activities,-11221000000.0,-3323000000.0,-3330000000.0,-1539000000.0,
Net Other Investing Changes,566000000.0,1391000000.0,283000000.0,735000000.0,
Dividends Received Cfi,,,,9000000.0,40000000.0
Net Investment Properties Purchase And Sale,,,,,0.0
Purchase Of Investment Properties,,,,,0.0
Net Business Purchase And Sale,,,,-114000000.0,-102000000.0
Purchase Of Business,,,,-114000000.0,-102000000.0
Net PPE Purchase And Sale,-11787000000.0,-4714000000.0,-3613000000.0,-2274000000.0,
Purchase Of PPE,-11787000000.0,-4714000000.0,-3613000000.0,-2274000000.0,
Operating Cash Flow,6413000000.0,5920000000.0,6325000000.0,3944000000.0,
Cash Flow From Continuing Operating Activities,6413000000.0,5920000000.0,6325000000.0,3944000000.0,
Change In Working Capital,-96000000.0,296000000.0,-199000000.0,36000000.0,
Change In Other Working Capital,4000000.0,-2000000.0,-16000000.0,-47000000.0,
Change In Payables And Accrued Expense,-121000000.0,175000000.0,126000000.0,107000000.0,
Change In Payable,-121000000.0,175000000.0,126000000.0,107000000.0,
Change In Account Payable,-376000000.0,57000000.0,-47000000.0,-41000000.0,
Change In Tax Payable,87000000.0,-5000000.0,17000000.0,0.0,
Change In Income Tax Payable,87000000.0,-5000000.0,17000000.0,0.0,
Change In Prepaid Assets,54000000.0,-89000000.0,21000000.0,20000000.0,
Change In Receivables,-33000000.0,212000000.0,-330000000.0,-44000000.0,
Changes In Account Receivables,-42000000.0,-71000000.0,-47000000.0,-196000000.0,
Other Non Cash Items,89000000.0,5000000.0,85000000.0,39000000.0,
Stock Based Compensation,65000000.0,54000000.0,55000000.0,51000000.0,
Asset Impairment Charge,,,0.0,0.0,6021000000.0
Deferred Tax,15000000.0,378000000.0,720000000.0,606000000.0,
Deferred Income Tax,15000000.0,378000000.0,720000000.0,606000000.0,
Depreciation Amortization Depletion,2850000000.0,1746000000.0,1344000000.0,1275000000.0,
Depreciation And Amortization,2850000000.0,1746000000.0,1344000000.0,1275000000.0,
Depreciation,2850000000.0,1746000000.0,1344000000.0,1275000000.0,
Operating Gains Losses,-211000000.0,105000000.0,-242000000.0,-339000000.0,
Earnings Losses From Equity Investments,-21000000.0,-48000000.0,-77000000.0,-15000000.0,
Gain Loss On Investment Securities,-188000000.0,149000000.0,-264000000.0,-399000000.0,
Net Income From Continuing Operations,3701000000.0,3336000000.0,4562000000.0,2276000000.0,
