,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.218,0.216,0.225,0.217,
Normalized EBITDA,2685777000.0,3295093000.0,4052764000.0,3861991000.0,
Net Income From Continuing Operation Net Minority Interest,1125253000.0,1661274000.0,2415989000.0,2399232000.0,
Reconciled Depreciation,971703000.0,848793000.0,724877000.0,641316000.0,
Reconciled Cost Of Revenue,28594811000.0,26972585000.0,26024765000.0,23407443000.0,
EBITDA,2685777000.0,3295093000.0,4052764000.0,3861991000.0,
EBIT,1714074000.0,2446300000.0,3327887000.0,3220675000.0,
Net Interest Income,-274320000.0,-326781000.0,-211273000.0,-157526000.0,
Interest Expense,274320000.0,326781000.0,211273000.0,157526000.0,
Normalized Income,1125253000.0,1661274000.0,2415989000.0,2399232000.0,
Net Income From Continuing And Discontinued Operation,1125253000.0,1661274000.0,2415989000.0,2399232000.0,
Total Expenses,38898234000.0,36245309000.0,34516561000.0,30999774000.0,
Total Operating Income As Reported,1714074000.0,2446300000.0,3328302000.0,3220675000.0,
Diluted Average Shares,,219938000.0,226297000.0,235812001.0,250076002.0
Basic Average Shares,,219415000.0,225148000.0,234261001.0,248171001.0
Diluted EPS,,7.55,10.68,10.17,10.62
Basic EPS,,7.57,10.73,10.24,10.7
Diluted NI Availto Com Stockholders,1125253000.0,1661274000.0,2415989000.0,2399232000.0,
Net Income Common Stockholders,1125253000.0,1661274000.0,2415989000.0,2399232000.0,
Net Income,1125253000.0,1661274000.0,2415989000.0,2399232000.0,
Net Income Including Noncontrolling Interests,1125253000.0,1661274000.0,2415989000.0,2399232000.0,
Net Income Continuous Operations,1125253000.0,1661274000.0,2415989000.0,2399232000.0,
Tax Provision,314501000.0,458245000.0,700625000.0,663917000.0,
Pretax Income,1439754000.0,2119519000.0,3116614000.0,3063149000.0,
Other Income Expense,,,-415000.0,,
Other Non Operating Income Expenses,,,-415000.0,,
Net Non Operating Interest Income Expense,-274320000.0,-326781000.0,-211273000.0,-157526000.0,
Interest Expense Non Operating,274320000.0,326781000.0,211273000.0,157526000.0,
Operating Income,1714074000.0,2446300000.0,3328302000.0,3220675000.0,
Operating Expense,10303423000.0,9272724000.0,8491796000.0,7592331000.0,
Selling General And Administration,10303423000.0,9272724000.0,8491796000.0,7592331000.0,
Gross Profit,12017497000.0,11719024000.0,11820098000.0,10813006000.0,
Cost Of Revenue,28594811000.0,26972585000.0,26024765000.0,23407443000.0,
Total Revenue,40612308000.0,38691609000.0,37844863000.0,34220449000.0,
Operating Revenue,40612308000.0,38691609000.0,37844863000.0,34220449000.0,
