,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.233,0.234,0.241,0.178,
Normalized EBITDA,1277000000.0,1213000000.0,1203000000.0,1153000000.0,
Net Income From Continuing Operation Net Minority Interest,833000000.0,839000000.0,845000000.0,861000000.0,
Reconciled Depreciation,78000000.0,87000000.0,90000000.0,106000000.0,
Reconciled Cost Of Revenue,2088000000.0,2120000000.0,2110000000.0,1987000000.0,
EBITDA,1277000000.0,1213000000.0,1203000000.0,1153000000.0,
EBIT,1199000000.0,1126000000.0,1113000000.0,1047000000.0,
Net Interest Income,-113000000.0,-30000000.0,0.0,0.0,
Interest Expense,113000000.0,30000000.0,0.0,0.0,
Normalized Income,833000000.0,839000000.0,845000000.0,861000000.0,
Net Income From Continuing And Discontinued Operation,833000000.0,839000000.0,845000000.0,861000000.0,
Total Expenses,3985000000.0,3881000000.0,3758000000.0,3659000000.0,
Total Operating Income As Reported,1208000000.0,1140000000.0,1112000000.0,1041000000.0,
Diluted Average Shares,,246800000.0,246700000.0,246700000.0,246700000.0
Basic Average Shares,,246400000.0,244500000.0,244500000.0,244500000.0
Diluted EPS,,3.4,3.425213,3.490069,2.934739
Basic EPS,,3.41,3.456033,3.521472,2.961145
Diluted NI Availto Com Stockholders,833000000.0,839000000.0,845000000.0,861000000.0,
Net Income Common Stockholders,833000000.0,839000000.0,845000000.0,861000000.0,
Net Income,833000000.0,839000000.0,845000000.0,861000000.0,
Net Income Including Noncontrolling Interests,833000000.0,839000000.0,845000000.0,861000000.0,
Net Income Continuous Operations,833000000.0,839000000.0,845000000.0,861000000.0,
Tax Provision,253000000.0,257000000.0,268000000.0,186000000.0,
Pretax Income,1086000000.0,1096000000.0,1113000000.0,1047000000.0,
Other Income Expense,-9000000.0,-14000000.0,1000000.0,6000000.0,
Other Non Operating Income Expenses,-9000000.0,-14000000.0,1000000.0,6000000.0,
Net Non Operating Interest Income Expense,-113000000.0,-30000000.0,0.0,0.0,
Interest Expense Non Operating,113000000.0,30000000.0,0.0,0.0,
Operating Income,1208000000.0,1140000000.0,1112000000.0,1041000000.0,
Operating Expense,1897000000.0,1761000000.0,1648000000.0,1672000000.0,
Research And Development,253000000.0,225000000.0,217000000.0,244000000.0,
Selling General And Administration,1644000000.0,1536000000.0,1431000000.0,1428000000.0,
Gross Profit,3105000000.0,2901000000.0,2760000000.0,2713000000.0,
Cost Of Revenue,2088000000.0,2120000000.0,2110000000.0,1987000000.0,
Total Revenue,5193000000.0,5021000000.0,4870000000.0,4700000000.0,
Operating Revenue,5193000000.0,5021000000.0,4870000000.0,4700000000.0,
